# convergence_check.R  run on 2026-09-16 11:09; replications per cell: main 25, boundary 10; cores 12; 0.7 min
# fits = propensity/outcome refits examined (folds x replications); ps_nonconv = logistic refit at glm.fit's iteration limit;
# ps_boundary = fitted probabilities numerically at 0/1; *_rankdef_fits = refits with aliased coefficients (set to zero);
# ginv_fits = refits in which a sandwich block was solved with a generalized inverse; trim_frac = share of test-fold
# propensities clipped; max_dpsi_maxit / max_dcorr_maxit = largest change in a pseudo-observation / correction term when
# a non-converged propensity refit is repeated with maxit = 200 (NA when no refit was non-converged);
# max_d_est_maxit / max_d_se_stk_maxit / cov_flips_maxit = largest change in a replication's arm estimate / stacked SE,
# and number of replications whose 95 percent stacked-interval coverage indicator changes, under the maxit = 200 refits.
"cell","design","n","p","arm","arm_label","pilot","reps","fits","mean_dim","ps_nonconv","ps_boundary","ps_rankdef_fits","out_rankdef_fits","ginv_fits","trim_frac","max_dpsi_maxit","max_dcorr_maxit","est_check","max_d_est_maxit","max_d_se_stk_maxit","cov_flips_maxit"
"Bd","Bd (bounded Rademacher, n=500,p=20)",500,20,"oracle","oracle set + AIPW","ols",25,125,7,0,0,0,0,0,0,NA,NA,0,0,0,0
"Bd","Bd (bounded Rademacher, n=500,p=20)",500,20,"full","full set + AIPW","ols",25,125,21,0,0,0,0,0,0.02936,NA,NA,0,0,0,0
"Bd","Bd (bounded Rademacher, n=500,p=20)",500,20,"out_thr","outcome-only thresholded + AIPW","ols",25,125,7.032,0,0,0,0,0,0,NA,NA,0,0,0,0
"Bd","Bd (bounded Rademacher, n=500,p=20)",500,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",25,125,15.456,0,0,0,0,0,0.00992,NA,NA,0,0,0,0
"Bd","Bd (bounded Rademacher, n=500,p=20)",500,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",25,125,5.288,0,0,0,0,0,0,NA,NA,0,0,0,0
"Bd","Bd (bounded Rademacher, n=500,p=20)",500,20,"oal_wamd","naive OAL selection (wAMD) + AIPW","ols",25,125,15.048,0,0,0,0,0,0.01288,NA,NA,0,0,0,0
"Bd","Bd (bounded Rademacher, n=500,p=20)",500,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",25,125,7.04,0,0,0,0,0,0,NA,NA,0,0,0,0
"Bd","Bd (bounded Rademacher, n=500,p=20)",500,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",25,125,15.456,0,0,0,0,0,0.00992,NA,NA,0,0,0,0
"Bd","Bd (bounded Rademacher, n=500,p=20)",500,20,"trt_bic","treatment-only BIC-lasso + AIPW","ols",25,125,8.48,0,0,0,0,0,0.018,NA,NA,0,0,0,0
"Bd","Bd (bounded Rademacher, n=500,p=20)",500,20,"bch","BCH double selection + AIPW","ols",25,125,16.896,0,0,0,0,0,0.02592,NA,NA,0,0,0,0
"H","H (heteroscedastic, n=500,p=20)",500,20,"oracle","oracle set + AIPW","ols",25,125,7,0,0,0,0,0,0.0228,NA,NA,0,0,0,0
"H","H (heteroscedastic, n=500,p=20)",500,20,"full","full set + AIPW","ols",25,125,21,0,0,0,0,0,0.222,NA,NA,0,0,0,0
"H","H (heteroscedastic, n=500,p=20)",500,20,"out_thr","outcome-only thresholded + AIPW","ols",25,125,7.024,0,0,0,0,0,0.0232,NA,NA,0,0,0,0
"H","H (heteroscedastic, n=500,p=20)",500,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",25,125,15.088,0,0,0,0,0,0.12104,NA,NA,0,0,0,0
"H","H (heteroscedastic, n=500,p=20)",500,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",25,125,5.264,0,0,0,0,0,0.02264,NA,NA,0,0,0,0
"H","H (heteroscedastic, n=500,p=20)",500,20,"oal_wamd","naive OAL selection (wAMD) + AIPW","ols",25,125,13.096,0,0,0,0,0,0.13896,NA,NA,0,0,0,0
"H","H (heteroscedastic, n=500,p=20)",500,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",25,125,7.04,0,0,0,0,0,0.02408,NA,NA,0,0,0,0
"H","H (heteroscedastic, n=500,p=20)",500,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",25,125,15.088,0,0,0,0,0,0.12104,NA,NA,0,0,0,0
"H","H (heteroscedastic, n=500,p=20)",500,20,"trt_bic","treatment-only BIC-lasso + AIPW","ols",25,125,9.76,0,0,0,0,0,0.20392,NA,NA,0,0,0,0
"H","H (heteroscedastic, n=500,p=20)",500,20,"bch","BCH double selection + AIPW","ols",25,125,16.88,0,0,0,0,0,0.21368,NA,NA,0,0,0,0
"IV6","IV6 (six instruments, n=500,p=20)",500,20,"oracle","oracle set + AIPW","ols",25,125,7,0,0,0,0,0,0.00296,NA,NA,0,0,0,0
"IV6","IV6 (six instruments, n=500,p=20)",500,20,"full","full set + AIPW","ols",25,125,21,0,0,0,0,0,0.36624,NA,NA,0,0,0,0
"IV6","IV6 (six instruments, n=500,p=20)",500,20,"out_thr","outcome-only thresholded + AIPW","ols",25,125,7.032,0,0,0,0,0,0.00328,NA,NA,0,0,0,0
"IV6","IV6 (six instruments, n=500,p=20)",500,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",25,125,14.744,0,0,0,0,0,0.14528,NA,NA,0,0,0,0
"IV6","IV6 (six instruments, n=500,p=20)",500,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",25,125,5.248,0,0,0,0,0,0.00288,NA,NA,0,0,0,0
"IV6","IV6 (six instruments, n=500,p=20)",500,20,"oal_wamd","naive OAL selection (wAMD) + AIPW","ols",25,125,13.264,0,0,0,0,0,0.17344,NA,NA,0,0,0,0
"IV6","IV6 (six instruments, n=500,p=20)",500,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",25,125,7.032,0,0,0,0,0,0.00328,NA,NA,0,0,0,0
"IV6","IV6 (six instruments, n=500,p=20)",500,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",25,125,14.744,0,0,0,0,0,0.14528,NA,NA,0,0,0,0
"IV6","IV6 (six instruments, n=500,p=20)",500,20,"trt_bic","treatment-only BIC-lasso + AIPW","ols",25,125,15.008,0,0,0,0,0,0.3628,NA,NA,0,0,0,0
"IV6","IV6 (six instruments, n=500,p=20)",500,20,"bch","BCH double selection + AIPW","ols",25,125,18.952,0,0,0,0,0,0.36512,NA,NA,0,0,0,0
"B500_k1.50","B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"oracle","oracle set + AIPW","ols",10,50,7,0,0,0,0,0,0.0472,NA,NA,0,0,0,0
"B500_k1.50","B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"full","full set + AIPW","ols",10,50,21,0,0,0,0,0,0.2728,NA,NA,0,0,0,0
"B500_k1.50","B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"out_thr","outcome-only thresholded + AIPW","ols",10,50,7.06,0,0,0,0,0,0.0472,NA,NA,0,0,0,0
"B500_k1.50","B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",10,50,14.02,0,0,0,0,0,0.1708,NA,NA,0,0,0,0
"B500_k1.50","B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",10,50,5.22,0,0,0,0,0,0.0468,NA,NA,0,0,0,0
"B500_k1.50","B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",10,50,7.06,0,0,0,0,0,0.0472,NA,NA,0,0,0,0
"B500_k1.50","B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",10,50,14.02,0,0,0,0,0,0.1708,NA,NA,0,0,0,0
"B500_k1.50","B (boundary seq., kappa=1.50, b_n=0.693)",500,20,"bch","BCH double selection + AIPW","ols",10,50,16.04,0,0,0,0,0,0.2618,NA,NA,0,0,0,0
"B500_k1.10","B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"oracle","oracle set + AIPW","ols",10,50,7,0,0,0,0,0,0.0402,NA,NA,0,0,0,0
"B500_k1.10","B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"full","full set + AIPW","ols",10,50,21,0,0,0,0,0,0.2482,NA,NA,0,0,0,0
"B500_k1.10","B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"out_thr","outcome-only thresholded + AIPW","ols",10,50,6.48,0,0,0,0,0,0.0214,NA,NA,0,0,0,0
"B500_k1.10","B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",10,50,14.52,0,0,0,0,0,0.1402,NA,NA,0,0,0,0
"B500_k1.10","B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",10,50,4.86,0,0,0,0,0,0.0256,NA,NA,0,0,0,0
"B500_k1.10","B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",10,50,6.6,0,0,0,0,0,0.0252,NA,NA,0,0,0,0
"B500_k1.10","B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",10,50,14.52,0,0,0,0,0,0.1402,NA,NA,0,0,0,0
"B500_k1.10","B (boundary seq., kappa=1.10, b_n=0.334)",500,20,"bch","BCH double selection + AIPW","ols",10,50,16.58,0,0,0,0,0,0.2412,NA,NA,0,0,0,0
"B500_k0.75","B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"oracle","oracle set + AIPW","ols",10,50,7,0,0,0,0,0,0.0478,NA,NA,0,0,0,0
"B500_k0.75","B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"full","full set + AIPW","ols",10,50,21,0,0,0,0,0,0.2888,NA,NA,0,0,0,0
"B500_k0.75","B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"out_thr","outcome-only thresholded + AIPW","ols",10,50,5.48,0,0,0,0,0,0.005,NA,NA,0,0,0,0
"B500_k0.75","B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",10,50,15.52,0,0,0,0,0,0.1532,NA,NA,0,0,0,0
"B500_k0.75","B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",10,50,3.92,0,0,0,0,0,0.0072,NA,NA,0,0,0,0
"B500_k0.75","B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",10,50,5.52,0,0,0,0,0,0.0078,NA,NA,0,0,0,0
"B500_k0.75","B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",10,50,15.52,0,0,0,0,0,0.1532,NA,NA,0,0,0,0
"B500_k0.75","B (boundary seq., kappa=0.75, b_n=0.176)",500,20,"bch","BCH double selection + AIPW","ols",10,50,17.68,0,0,0,0,0,0.2798,NA,NA,0,0,0,0
"B2000_k1.50","B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"oracle","oracle set + AIPW","ols",10,50,7,0,0,0,0,0,0.0273,NA,NA,0,0,0,0
"B2000_k1.50","B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"full","full set + AIPW","ols",10,50,21,0,0,0,0,0,0.2088,NA,NA,0,0,0,0
"B2000_k1.50","B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"out_thr","outcome-only thresholded + AIPW","ols",10,50,7,0,0,0,0,0,0.0273,NA,NA,0,0,0,0
"B2000_k1.50","B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",10,50,13.68,0,0,0,0,0,0.08165,NA,NA,0,0,0,0
"B2000_k1.50","B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",10,50,5.9,0,0,0,0,0,0.03065,NA,NA,0,0,0,0
"B2000_k1.50","B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",10,50,7.04,0,0,0,0,0,0.03085,NA,NA,0,0,0,0
"B2000_k1.50","B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",10,50,13.68,0,0,0,0,0,0.08165,NA,NA,0,0,0,0
"B2000_k1.50","B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"bch","BCH double selection + AIPW","ols",10,50,16.12,0,0,0,0,0,0.206,NA,NA,0,0,0,0
"B2000_k1.10","B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"oracle","oracle set + AIPW","ols",10,50,7,0,0,0,0,0,0.03675,NA,NA,0,0,0,0
"B2000_k1.10","B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"full","full set + AIPW","ols",10,50,21,0,0,0,0,0,0.2138,NA,NA,0,0,0,0
"B2000_k1.10","B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"out_thr","outcome-only thresholded + AIPW","ols",10,50,6.36,0,0,0,0,0,0.0177,NA,NA,0,0,0,0
"B2000_k1.10","B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",10,50,13.64,0,0,0,0,0,0.1226,NA,NA,0,0,0,0
"B2000_k1.10","B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",10,50,5.12,0,0,0,0,0,0.0219,NA,NA,0,0,0,0
"B2000_k1.10","B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",10,50,6.52,0,0,0,0,0,0.0221,NA,NA,0,0,0,0
"B2000_k1.10","B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",10,50,13.64,0,0,0,0,0,0.1226,NA,NA,0,0,0,0
"B2000_k1.10","B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"bch","BCH double selection + AIPW","ols",10,50,15.52,0,0,0,0,0,0.2121,NA,NA,0,0,0,0
"B2000_k0.75","B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"oracle","oracle set + AIPW","ols",10,50,7,0,0,0,0,0,0.02765,NA,NA,0,0,0,0
"B2000_k0.75","B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"full","full set + AIPW","ols",10,50,21,0,0,0,0,0,0.2075,NA,NA,0,0,0,0
"B2000_k0.75","B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"out_thr","outcome-only thresholded + AIPW","ols",10,50,5.02,0,0,0,0,0,1e-04,NA,NA,0,0,0,0
"B2000_k0.75","B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",10,50,11.96,0,0,0,0,0,0.0686,NA,NA,0,0,0,0
"B2000_k0.75","B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",10,50,3.76,0,0,0,0,0,0.00045,NA,NA,0,0,0,0
"B2000_k0.75","B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",10,50,5.1,0,0,0,0,0,4e-04,NA,NA,0,0,0,0
